,FP rate,FN rate,Accuracy,F1-score,MCC,Mean C,Median C,Sum metrics
23,0.005389249376674461,0.3943089430894309,0.9859195445805387,0.6578366445916115,0.6532306513555731,1.6635026931762695,1.4707281589508057,2.2969868405277234
24,0.0045839592399300015,0.41937669376693765,0.9861466487002074,0.6519589197413466,0.650125486673931,1.9249752759933472,1.609299898147583,2.288231055115485
25,0.0037012373592678056,0.45663956639566394,0.9861769292494966,0.6372665872069924,0.6404415140999169,2.156219005584717,1.761624813079834,2.263885030556406
26,0.0028959472225233455,0.483739837398374,0.9863586125452316,0.6284536082474227,0.6376328049388804,2.387462854385376,1.913949728012085,2.252445025731535
27,0.02979573505954501,0.1565040650406504,0.9673727081409257,0.5360602798708288,0.5627502507837969,1.8414241075515747,1.667191743850708,2.0661832387955514
28,0.023461818407074165,0.1842818428184282,0.9729443292101319,0.5740166865315852,0.5894202271374556,2.0517802238464355,1.8339897394180298,2.136381242879173
29,0.01756151952054264,0.22628726287262874,0.9777740768217535,0.6087420042643923,0.612735106529526,2.262136459350586,2.0007877349853516,2.1992511876156717
30,0.011134684775370511,0.32723577235772355,0.9818013898772123,0.6229611041405271,0.6154620319928965,2.7407519817352295,2.291454315185547,2.220224526010636
31,0.007108234091648212,0.4037940379403794,0.984027010249966,0.6252220248667851,0.6178456878959742,3.1759402751922607,2.6143178939819336,2.2270947230127254
32,0.004754309076549022,0.45799457994579945,0.9851171100243759,0.6194347657762291,0.6185991839709162,3.611128330230713,2.9371817111968994,2.223151059771521
33,0.002400384061449832,0.5738482384823849,0.9848294448061288,0.5566371681415929,0.5783378032757341,4.62687873840332,3.4963979721069336,2.119804416223456
34,0.0013163396466015207,0.6632791327913279,0.9838907477781647,0.4829931972789115,0.5304749359994044,5.533598899841309,4.120497703552246,1.9973588810564804
35,0.0008517491830951016,0.7079945799457995,0.9833456978909597,0.43934760448521915,0.5035509124740224,6.440318584442139,4.744597434997559,1.9262442148502013
36,0.04618029207253806,0.1565040650406504,0.9513542975669579,0.436612309310889,0.4815166358701272,1.423252820968628,1.3286261558532715,1.8694832427479742
37,0.04213835504003221,0.1443089430894309,0.9555784341927963,0.46263736263736266,0.5050929510347447,1.5290659666061401,1.4107826948165894,1.9233087478649038
38,0.0370588326390287,0.1470189701897019,0.9604838831776409,0.49102964118564735,0.5276794358574783,1.6348791122436523,1.4929392337799072,1.9791929602207665
39,0.029021417620367647,0.17276422764227642,0.9677663552816849,0.5342375847735724,0.5582724580331274,1.8772549629211426,1.6375892162322998,2.060276398088385
40,0.02256361017762842,0.2032520325203252,0.9733985374494694,0.5724020442930153,0.5849088606902587,2.0965688228607178,1.7969863414764404,2.1307094424327433
41,0.017716383008378116,0.23712737127371275,0.9773804296809944,0.6011745862253071,0.604594546099556,2.315882444381714,1.9563837051391602,2.183149562005857
42,0.012265188236569463,0.3224932249322493,0.98080213175067,0.6119951040391677,0.605227741068662,2.8311045169830322,2.2345757484436035,2.1980249768584996
